PrjName;Filter;RecordNo;AgentId;AgentUserName;PhoneNo;Language;LtCallDt;LtCallWd;LtCallST;CallDurS;CallDurM;LtQuestF;CallCnt;LtCallR;WaveNo;Priority;DialingMode;ResCompleted;IntLevel;ResTimeZone;CallNotes;RestrictionOverride;ResTimeSlot;LtCaseR;CyclePhoneNumber;ManualDialing;LANG;NAME;INT01;N1;N2_1;RegionA;R1;SCREE;T1;S1M1;S1M2;S1M3;S1M4;S1M5;S1M6;S1M7;S1M8;S1M9;S1M10;S2M1;S2M2;S2M3;S2M4;S2M5;S2M6;S2M7;S2M8;S2M9;S2M10;S3M1;S3M2;S3M3;S3M4;S3M5;S3M6;S3M7;S3M8;S3M9;S3M10;S4M1;S4M2;S4M3;S4M4;S4M5;S4M6;S4M7;S4M8;S4M9;S4M10;S5M1;S5M2;S5M3;S5M4;S5M5;S5M6;S5M7;S5M8;S5M9;S5M10;S6M1;S6M2;S6M3;S6M4;S6M5;S6M6;S6M7;S6M8;S6M9;S6M10;S7M1;S7M2;S7M3;S7M4;S7M5;S7M6;S7M7;S7M8;S7M9;S7M10;S8M1;S8M2;S8M3;S9M1;S9M2;S9M3;S9M4;S9M5;S9M6;S9M7;S9M8;S9M9;S9M10;S10;S11;S12;S13;S14A;S14B;RAUS;BYE;VOLL;INT;SQ;F6;PR_CODE;REG;DISTR;SETTL;IMPOR;TEL1;TEL2;TEL3;LSURN;LNAME;TEL4;TEL5;LSURN2;LNAME2;TEL6;TEL7;LSURN3;LNAME3;TEL8;RESPONDENT;TEL9;NOTE;KORR;F7;QN1;QN2;QN3;QN4;QN5;F8;QN6;QN7;QN8;F11;CB
Grupa 4.;1;1233;55;Agent.07;812513119;1;20210730;6;10:09:00;1822;30;462;2;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090471;;;157;999;;;;;;;;;;102;103;104;105;106;107;;;;;;5;4;1;5;3;1;;;;101;102;103;104;105;106;108;;;;101;102;104;106;108;;;;;;5;5;5;1;1;5;3;4;4;5;3;4;3;1;2;1;;5;;;109;;;6;4;0;7;6;10;10;5;0;8;1973;103;104;101;534;534;;99;100;CO;;;648129;;;;;;;;;;;;;;;;;;;;;;1;;litora Fusce tincidunt scelerisque non nibh, Phasellus litora id leo nec elementum, lobortis. felis. ad malesuada adipiscing;;;;;;;;;;
Grupa 4.;1;1234;57;Agent.09;383567648;1;20210730;6;17:28:00;2012;34;462;3;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090474;;;70;108;101;118;116;105;103;;;;;102;103;104;105;106;107;;;;;1;5;3;4;1;4;3;3;;;101;102;103;104;108;;;;;;101;102;103;105;;;;;;;1;5;1;4;4;4;1;5;2;4;4;2;5;1;;;;3;;;104;106;109;9;7;9;7;4;9;9;8;5;9;1973;102;102;101;120;120;;99;100;CO;;;904730;;;;;707448548;;;;;;;;;;;;;;;;;1;;egestas non Praesent sem amet tincidunt placerat. pretium varius aliquet, interdum mus. mattis a quam felis. quam Class vel,;;;;;;;;;;2,02E+11
Grupa 4.;1;1236;55;Agent.07;874527360;1;20210729;5;14:59:00;1585;26;461;2;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090478;;;83;999;;;;;;;;;;101;102;103;104;106;107;;;;;5;2;3;2;;3;3;;;;101;102;104;105;107;;;;;;101;102;103;107;108;;;;;;4;5;4;4;5;2;5;4;3;5;5;3;;2;3;;3;;;;103;107;109;10;10;9;8;10;3;9;4;2;9;1967;104;104;101;100;120;;99;100;CO;;;411416;;;;;454627584;;;;;;;;;;;;;;;;;1;;porta mus. facilisis amet Praesent nascetur adipiscing finibus vel lorem. et Cras taciti condimentum erat ante. Praesent mal;porta mus. facilisis amet Praesent nascetur adipiscing finibus vel lorem. et Cras taciti condimentum erat ante. Praese;;;;;;;;;2,02E+11
Grupa 4.;1;1256;59;Agent.10;834590144;1;20210803;3;16:13:00;1578;26;462;17;CO;10;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090506;;;19;108;107;102;113;118;112;106;;;;103;104;105;106;107;;;;;;;1;3;1;2;2;3;3;;;101;102;104;105;107;;;;;;102;106;108;;;;;;;;5;5;4;5;1;4;4;2;1;1;3;1;;5;5;;3;;;;102;;;10;4;1;7;2;8;9;1;9;10;1999;104;101;101;150;150;;99;100;CO;;;849998;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa 4.;1;1261;59;Agent.10;271217641;1;20210802;2;15:12:00;1711;29;462;3;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090515;;;84;999;;;;;;;;;;101;105;106;108;110;;;;;;3;;;;2;2;;1;;2;101;102;103;104;105;108;109;;;;101;102;103;104;106;107;108;;;;1;5;5;5;2;5;1;4;5;2;1;2;5;5;2;;;5;5;;103;;;9;9;2;4;9;9;4;3;8;7;1960;103;104;101;50;50;;99;100;CO;;;387471;;;;;;;;;;;;;;;;;;;;;;1;;justo sed ex sed euismod nec In volutpat, et In non vulputate, ipsum odio dis lorem. sit ac lectus, nibh a ut. eu a justo Fu;;;;;;;;;;2,02E+11
Grupa 4.;1;1271;45;Agent.02;456587056;1;20210802;2;10:16:00;1622;27;462;2;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090525;;;57;999;;;;;;;;;;103;104;105;106;107;;;;;;;;4;2;2;3;1;;;;101;102;103;104;105;106;107;;;;101;102;104;106;;;;;;;3;3;1;5;2;4;4;4;4;2;4;4;2;3;3;4;5;;;;108;105;;6;4;7;7;6;6;9;7;7;6;1972;104;105;101;10;20;;99;100;CO;;;580076;;;;;558921447;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa 4.;1;1272;53;Agent.06;123414216;1;20210729;5;11:49:00;1991;33;461;1;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090532;;;124;108;101;112;;;;;;;;102;103;104;105;106;107;;;;;2;5;5;3;1;4;1;1;;;101;102;107;108;;;;;;;101;102;105;;;;;;;;1;1;5;4;2;2;4;4;2;1;4;4;;;;;3;4;;;106;101;103;2;9;6;5;9;9;7;2;2;5;1979;102;103;101;40;40;;99;100;CO;;;993297;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa 4.;1;1286;45;Agent.02;450431116;1;20210730;6;14:38:00;1781;30;462;2;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090576;;;62;999;;;;;;;;;;103;104;107;;;;;;;;;;4;4;;;5;;;;101;102;103;106;;;;;;;102;103;104;107;108;;;;;;5;5;5;5;4;4;5;1;1;3;2;5;5;;;3;;;;;101;105;;4;9;3;4;9;1;5;5;6;8;1956;104;102;101;50;50;;99;100;CO;;;951731;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa 4.;1;1292;45;Agent.02;236823518;1;20210730;6;10:11:00;1855;31;462;2;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090650;;;275;106;108;;;;;;;;;101;102;103;104;106;107;;;;;2;2;3;4;;2;2;5;;;101;102;103;104;105;106;107;108;;;102;103;104;105;107;;;;;;2;5;5;5;1;4;2;4;5;5;3;2;1;4;4;5;3;4;;;109;106;;1;3;5;10;7;8;6;9;5;3;1964;103;104;101;125;125;;99;100;CO;;;169519;;;;;279564525;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa 4.;1;1293;47;Agent.03;496162179;1;20210730;6;13:12:00;1386;23;462;5;CO;4;0;0;1;0;0;;0;0;CO;1;0;PL;;LQ;;;32090653;;;69;119;105;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;101;102;103;104;106;107;;;;;101;102;104;106;108;;;;;;5;3;5;5;1;4;5;3;1;2;4;3;2;1;;1;5;;;;104;110;;6;8;5;6;6;10;9;3;0;10;1994;104;101;101;420;420;;99;100;CO;;;809902;;;;;;;;;;;;;;;;;;;;;;1;;ipsum, vitae molestie id In quam quam luctus, lacinia. ullamcorper efficitur, parturient quam viverra euismod egestas sit to;;;;;;;;;;2,02E+11
Grupa 4.;1;1294;57;Agent.09;248939389;1;20210730;6;15:19:00;1706;28;462;5;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090655;;;96;108;105;102;101;;;;;;;101;102;103;104;105;106;107;;;;4;3;4;2;5;3;4;2;;;101;102;103;104;105;106;107;108;110;;102;103;104;105;107;108;;;;;2;5;1;5;4;5;1;4;2;4;3;4;1;4;4;3;4;2;;5;110;101;;10;8;10;4;7;8;7;6;1;6;1990;104;102;101;27;27;;99;100;CO;;;849178;;;;;;;;;;;;;;;;;;;;;;1;;neque Proin ac elementum lobortis fringilla dui felis. erat Cras In eget luctus. lorem. vel, massa. faucibus a sagittis.;neque Proin ac elementum lobortis fringilla dui felis. erat Cras In eget luctus. lorem. vel, massa. faucibus a sagitti;;;;;;;;;2,02E+11
Grupa 4.;1;1295;59;Agent.10;645726512;1;20210730;6;15:58:00;1482;25;462;5;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090661;;;78;101;108;102;;;;;;;;101;105;106;108;;;;;;;1;1;;;3;4;;2;;;102;104;106;107;108;;;;;;101;102;103;104;108;;;;;;5;2;4;4;5;3;4;3;3;2;;5;;4;;4;1;4;;;105;101;103;2;5;1;2;4;8;2;10;1;9;1985;104;104;101;180;180;;99;100;CO;;;414194;;;;;465444784;;;;;;;;;;;;;;;;;1;;ornare quam leo est, porttitor Fusce adipiscing vestibulum a odio lorem. dolor nisl scelerisque. Lorem felis. tempus sceleri;;;;;;;;;;2,02E+11
Grupa 4.;1;1319;51;Agent.05;561068728;1;20210802;2;11:04:00;1761;29;462;5;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090745;;;68;117;108;101;102;;;;;;;102;104;106;107;110;;;;;;2;3;;2;;3;4;5;;1;101;102;103;105;106;107;;;;;101;104;106;;;;;;;;2;5;5;5;1;4;1;4;3;2;4;1;1;;3;4;1;;;;108;102;;9;3;5;7;9;9;7;4;7;2;1968;104;103;101;130;130;;99;100;CO;;;571017;;;;;831795942;;;;;;;;;;;;;;;;;1;;sit ultrices, metus, condimentum. ultrices, et sapien. amet sed vel lorem. eleifend quis Donec porta;;;;;;;;;;2,02E+11
Grupa 4.;1;1322;47;Agent.03;331433743;1;20210805;5;11:33:00;837;14;462;7;CO;5;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090749;;;22;999;;;;;;;;;;101;102;103;104;105;106;108;;;;5;5;2;3;3;4;;1;;;101;102;104;105;107;108;;;;;101;103;104;105;106;108;;;;;5;5;5;4;4;1;5;4;4;2;4;5;;1;1;;5;2;;;102;110;105;8;8;6;4;4;7;7;1;4;10;1959;103;104;101;65;65;;99;100;CO;;;424617;;;;;;;;;;;;;;;;;;;;;;1;;a ante. Praesent massa. auctor Phasellus vitae felis. suscipit elementum, venenatis. odio scelerisque ad laoreet eu. Curabit;a ante. Praesent massa. auctor Phasellus vitae felis. suscipit elementum, venenatis. odio scelerisque ad laoreet eu. C;a ante. Praesent massa. auctor Phasellus vitae felis. suscipit elementum, venenatis. odio scelerisque ad laoreet eu. C;a ante. Praesent massa. auctor Phasellus vitae felis. suscipit elementum, venenatis. odio scelerisque ad laoreet e;;;;;;;2,02E+11
Grupa 4.;1;1327;45;Agent.02;832750625;1;20210730;6;08:01:00;3536;59;462;2;CO;1;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090767;;;662;999;;;;;;;;;;102;103;104;105;106;107;109;;;;;2;4;1;4;3;999;;4;;101;102;103;104;106;108;;;;;101;106;;;;;;;;;1;5;4;5;5;3;1;1;1;1;5;1;2;1;;2;;2;;;110;;;9;6;9;6;8;8;7;10;9;4;1961;104;102;101;31;31;;99;100;CO;;;837502;;;;;657726768;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa 4.;1;1356;114;Agent.13;888931339;1;20210802;2;11:31:00;1674;28;462;3;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090826;;;68;106;105;102;101;116;;;;;;102;103;104;105;106;107;;;;;3;3;1;3;4;3;3;;;;101;102;103;104;105;107;110;;;;101;102;103;104;105;107;108;;;;1;5;5;5;5;2;4;4;4;1;2;5;1;3;2;;3;;;3;200;;;7;5;9;8;5;10;0;5;10;10;1957;104;101;101;100;100;;99;100;CO;;;971368;;;;;807474365;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa 4.;1;1358;114;Agent.13;734151880;1;20210810;3;15:57:00;1651;28;462;6;CO;6;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090850;;;72;999;;;;;;;;;;102;103;104;105;106;107;110;;;;;5;2;5;4;3;4;;;3;101;102;105;108;;;;;;;101;103;106;108;;;;;;;1;5;4;4;1;3;4;2;5;5;4;1;;;4;;;5;;;103;101;;3;4;2;9;9;10;9;10;6;5;1966;103;101;101;200;200;;99;100;CO;;;596924;;;;;;;;;;;;;;;;;;;;;;1;;lobortis. taciti elit. Fusce fringilla;lobortis. taciti elit. Fusce fringilla vestibulum lorem. sit massa. leo vestibulum platea non;;;;;;;;;
Grupa 4.;1;1364;57;Agent.09;447925657;1;20210810;3;09:19:00;1488;25;462;8;CO;3;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090884;;;62;999;;;;;;;;;;101;102;;;;;;;;;2;5;;;;;;;;;101;102;103;105;107;;;;;;101;102;103;104;105;106;107;108;;;5;2;5;5;5;2;1;4;4;3;4;5;2;;4;;5;;;;109;103;;7;9;10;5;4;10;2;3;4;0;1976;104;104;101;100;100;;99;100;CO;;;231054;;;;;;;;;;;;;;;;;;;;;;1;;Phasellus Fusce tortor a mauris lobortis tincidunt. dictumst. pellentesque finibus ad Donec a conubia non vulputate, at mus.;Phasellus Fusce tortor a mauris lobortis tincidunt. dictumst. pellentesque finibus ad Donec a conubia non vulputate, a;Phasellus Fusce tortor a mauris lobortis tincidunt. dictumst. pellentesque finibus ad Donec a conubia non vulputate, a;;;;;;;;2,02E+11
Grupa 4.;1;1375;53;Agent.06;454596732;1;20210802;2;15:19:00;1607;27;462;4;CO;3;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090899;;;75;102;115;;;;;;;;;101;103;106;108;;;;;;;1;3;5;;;4;;3;;;102;103;104;105;107;108;;;;;101;102;103;105;;;;;;;1;2;5;5;2;4;5;4;3;1;;2;4;2;4;;1;2;;;106;;;5;0;3;3;10;2;9;5;2;8;1984;104;101;101;22,6;22,6;;99;100;CO;;;293990;;;;;;;;;;;;;;;;;;;;;;1;;ex egestas mus. elit, malesuada quam. condimentum sapien Donec erat sodales venenatis a velit condimentum Donec laoreet diam;;;;;;;;;;2,02E+11
Grupa 4.;1;1377;114;Agent.13;534425052;1;20210803;3;10:53:00;561;9;462;6;CO;4;0;0;1;0;0;;0;0;CO;1;0;PL;;LQ;;;32090904;;;61;108;101;102;104;;;;;;;101;102;103;104;105;107;;;;;3;2;3;4;3;;1;3;;;101;102;103;104;105;106;107;;;;101;103;106;107;;;;;;;3;4;3;4;3;2;4;3;4;3;5;5;3;3;2;5;2;;;;110;101;;10;9;6;0;5;1;7;7;9;6;1966;104;101;101;10;10;;99;100;CO;;;103716;;;;;844334164;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa 4.;1;1382;114;Agent.13;225226665;1;20210804;4;09:07:00;1123;19;462;4;CO;4;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32090921;;;25;101;103;108;;;;;;;;101;102;103;107;108;;;;;;5;3;2;;;;4;3;;;101;102;103;104;107;;;;;;102;105;106;108;109;;;;;;4;4;5;5;5;4;1;4;4;2;2;5;2;2;;;5;;;;107;;;8;9;8;10;1;5;4;9;8;1;1971;104;105;101;7;7;;99;100;CO;;;969684;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2,02E+11
Grupa 4.;1;1393;61;Agent.11;799973681;1;20210730;6;11:22:00;2344;39;462;2;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32091044;;;107;108;102;101;105;;;;;;;101;107;;;;;;;;;4;3;;;3;;4;3;;;101;102;104;105;107;;;;;;101;102;104;105;106;107;108;;;;5;5;2;5;4;1;1;1;1;1;2;4;;2;1;;2;;;;101;106;;9;7;9;0;3;8;10;1;5;4;1976;101;104;101;20;20;;99;100;CO;;;264475;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Grupa 4.;1;1403;61;Agent.11;854334298;1;20210803;3;18:53:00;10;0;462;7;CO;3;0;0;1;0;0;;0;0;CO;1;0;PL;;LQ;;;32091077;;;33;108;101;118;116;105;103;;;;;103;105;106;107;108;;;;;;3;;3;;3;4;2;3;;;101;102;103;105;106;;;;;;101;102;103;104;105;;;;;;3;5;5;1;2;3;1;2;3;5;4;4;4;;3;3;;;;;105;103;;2;9;10;0;7;3;1;6;7;5;1983;104;104;101;1 100,00;1 150,00;;99;100;CO;;;584597;;;;;;;;;;;;;;;;;;;;;;1;;non Cras lorem. diam elit lacinia nisi. tempus dui ultrices, Phasellus elit. tincidunt maximus ad sed varius in sed taciti e;;;;;;;;;;2,02E+11
Grupa 4.;1;1404;53;Agent.06;306562012;1;20210812;5;15:35:00;1764;29;462;15;CO;10;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32091095;;;124;117;118;;;;;;;;;103;104;105;106;107;;;;;;;;1;4;4;3;3;;;;102;104;105;106;107;108;;;;;101;102;103;104;106;107;;;;;5;5;4;2;3;3;5;3;2;4;;1;;1;1;2;3;4;;;110;102;;6;7;1;1;5;4;8;0;9;1;1966;104;104;101;6;6;;99;100;CO;;;440628;;;;;;;;;;;;;;;;;;;;;;1;;condimentum. mattis auctor hac eget, vulputate, Aenean id venenatis. dui dolor blandit eu turpis, volutpat, orci. fringilla;;;;;;;;;;2,02E+11
Grupa 4.;1;1412;61;Agent.11;897635183;1;20210804;4;15:06:00;1277;21;462;3;CO;2;0;0;1;0;0;;0;0;CO;1;0;PL;;JA;;;32091114;;;55;108;106;119;;;;;;;;101;102;103;105;108;110;;;;;4;5;1;;1;4;;4;;2;101;102;104;105;107;;;;;;101;103;104;105;108;;;;;;5;1;5;1;2;1;1;1;1;1;2;2;;3;2;;3;;;;103;;;9;9;3;5;2;9;1;8;7;8;1961;104;103;101;290;290;;99;100;CO;;;516786;;;;;456746405;;;;;;;;;;;;;;;;;1;;ultrices, viverra amet, parturient ac dictum sem in diam vel litora vitae massa. molestie elementum maximus taciti porttitor;;;;;;;;;;2,02E+11
